text,sentimen
Saya berharap pilpres 2029 tdk pakai debat capres dan cawapres agar ibu2 dan emak2 tdk dipersalahkan. Kemarin ada cawapres yg tdk bisa jwb pertanyaan lawannya kemudian menyalahkan ibu2 dan emak2 yg melahirkan anak2nya termasuk emakku. Benar2 menyedihkan.,negatif
Debat anime lebih seru ketimbang debat capres,negatif
@ArieMutyara Normalnya masa kampanye tuh rakyat yg curhat soal apa saja yg bikin susah rakyat Lah ini malah capres yg curhat ke pendukungnya gara gara debat capres ,negatif
@99propaganda @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Ndons_Back @florieliciouss @are_inismyname @Reskiichsan8 @KhoirilAnwar_ @yosephrosario_ Ya namanya juga debat saling menjatuhkan Grace bloon banget sih lu penjilat Ya udah ganti nama jadi rumpi capres biar ga saling serang,negatif
@Uki23 Capres lu bukannya setuju mulu ama Ganjar waktu di debat.. terus program2 skrg pun niru2 03.. Apanya lg yg mau diadu? Lagi pula yg sibuk kampanye malah Jokowi Kl adun bansos kalian emang TOP Awokawokawok....,positif
@Hilmi28 Otaknya hanya bisa joget. Idenya cuma tanam singkong dan panen jagung. Hasilnya cuma bisa beli pesawat tempur BEKAS tapi mahal Saat dikritik bisanya ngeles dan marah. Kalah argumen debat bikin panggung sendiri dan omon2 kasar. Kamu itu Capres atau Preman?,negatif
22 hari pasca debat Capres. Masih aja ngedumel di depan pendukungnya. Kayak emak lagi haid. Yg tingkat emosinya meledak-ledak. Bertanda orang ini pendendam &amp; sulit menerima kenyataan. Siapa pun yg tidak dia suka akan terus dikulik. Psikologinya ga bagus tuk seorang pemimpin,negatif
@abu_waras @pandji acara debat capres diganti aja saling roasting.. pemandu acara @kikysaputrii,netral
Jangan lupa amlodipine 20 mg dan simvastatin 20 mg distokin menjelang debat capres terakhir ,netral
Top News: Tema Debat Capres Kelima Likuidasi Aset Evergrande https://t.co/VuG41pjDOs,positif
